No,URL,Delay,LossRate,Bandwidth
124,example.com,135,0.02,15
125,example.com,135,0.02,20
126,example.com,135,0.02,25
127,example.com,150,0.02,1
128,example.com,150,0.02,5
129,example.com,150,0.02,10
130,example.com,150,0.02,15
131,example.com,150,0.02,20
132,example.com,150,0.02,25
133,example.com,0,0.04,1
134,example.com,0,0.04,5
135,example.com,0,0.04,10
136,example.com,0,0.04,15
137,example.com,0,0.04,20
138,example.com,0,0.04,25
139,example.com,15,0.04,1
140,example.com,15,0.04,5
141,example.com,15,0.04,10
142,example.com,15,0.04,15
143,example.com,15,0.04,20
144,example.com,15,0.04,25
145,example.com,30,0.04,1
146,example.com,30,0.04,5
147,example.com,30,0.04,10
148,example.com,30,0.04,15
149,example.com,30,0.04,20
150,example.com,30,0.04,25
151,example.com,45,0.04,1
152,example.com,45,0.04,5
153,example.com,45,0.04,10
154,example.com,45,0.04,15
155,example.com,45,0.04,20
156,example.com,45,0.04,25
157,example.com,60,0.04,1
158,example.com,60,0.04,5
159,example.com,60,0.04,10
160,example.com,60,0.04,15
161,example.com,60,0.04,20
162,example.com,60,0.04,25
163,example.com,75,0.04,1
164,example.com,75,0.04,5
165,example.com,75,0.04,10
166,example.com,75,0.04,15
167,example.com,75,0.04,20
168,example.com,75,0.04,25
169,example.com,90,0.04,1
170,example.com,90,0.04,5
171,example.com,90,0.04,10
172,example.com,90,0.04,15
173,example.com,90,0.04,20
174,example.com,90,0.04,25
175,example.com,105,0.04,1
176,example.com,105,0.04,5
177,example.com,105,0.04,10
178,example.com,105,0.04,15
179,example.com,105,0.04,20
180,example.com,105,0.04,25
181,example.com,120,0.04,1
182,example.com,120,0.04,5
183,example.com,120,0.04,10
184,example.com,120,0.04,15
185,example.com,120,0.04,20
186,example.com,120,0.04,25
187,example.com,135,0.04,1
188,example.com,135,0.04,5
189,example.com,135,0.04,10
190,example.com,135,0.04,15
191,example.com,135,0.04,20
192,example.com,135,0.04,25
193,example.com,150,0.04,1
194,example.com,150,0.04,5
195,example.com,150,0.04,10
196,example.com,150,0.04,15
197,example.com,150,0.04,20
198,example.com,150,0.04,25
199,ebay.com,0,0,1
200,ebay.com,0,0,5
201,ebay.com,0,0,10
202,ebay.com,0,0,15
203,ebay.com,0,0,20
204,ebay.com,0,0,25
205,ebay.com,15,0,1
206,ebay.com,15,0,5
207,ebay.com,15,0,10
208,ebay.com,15,0,15
209,ebay.com,15,0,20
210,ebay.com,15,0,25
211,ebay.com,30,0,1
212,ebay.com,30,0,5
213,ebay.com,30,0,10
214,ebay.com,30,0,15
215,ebay.com,30,0,20
216,ebay.com,30,0,25
217,ebay.com,45,0,1
218,ebay.com,45,0,5
219,ebay.com,45,0,10
220,ebay.com,45,0,15
221,ebay.com,45,0,20
